timestamp,coin,direction,raw_message
2025-05-13 17:36:33+00:00,ETH,Bullish,#ETH BULLISH
2025-05-13 17:10:44+00:00,ENA,Bullish,#ENA BULLISH
2025-05-13 09:57:53+00:00,MUBARAK,Bullish,#MUBARAK bullish continuation
2025-05-13 00:44:49+00:00,LUMIA,Bullish,#LUMIA BULLISH
2025-05-12 01:36:17+00:00,SWARMS,Bullish,#SWARMS BULLISH
2025-05-10 23:08:10+00:00,REZ,Bullish,"#REZ BULLISH

2025-05-10 08:06:42+00:00,PEPE,Bullish,#PEPE BULLISH
2025-05-10 02:12:25+00:00,VANA,Bullish,#VANA BULLISH
2025-05-10 02:05:40+00:00,VINE,Bullish,#VINE BULLISH
2025-05-10 00:08:59+00:00,CAKE,Bullish,#CAKE BULLISH
2025-05-08 10:14:46+00:00,TURBO,Bullish,#TURBO Bullish
2025-05-08 03:39:02+00:00,EPT,Bullish,#EPT BULLISH
2025-05-05 02:39:13+00:00,BTC,Bullish,#BTC Bullish "
2025-05-05 02:15:32+00:00,NKN,Bullish,#NKN Bullish
2025-05-04 14:19:12+00:00,VIRTUAL,Bullish,#VIRTUAL Bullish continuation
2025-05-04 12:21:16+00:00,AVAAI,Bullish,#AVAAI Bullish
2025-05-03 15:40:22+00:00,BMT,Bullish,#BMT Bullish
2025-05-03 15:03:27+00:00,MAVIA,Bullish,#MAVIA BULLISH
2025-05-03 11:32:36+00:00,BR,Bullish,#BR Bullish
2025-05-03 04:17:56+00:00,HAEDAL,Bullish,#HAEDAL Bullish continuation
2025-05-02 05:59:51+00:00,AIOT,Bullish,#AIOT BULLISH
2025-05-02 00:16:40+00:00,ATH,Bullish,#ATH Bullish
2025-05-01 11:35:02+00:00,DOLO,Bullish,#DOLO Bullish
2025-05-01 01:46:15+00:00,SIGN,Bullish,#SIGN BULLISH
2025-04-30 15:38:37+00:00,VOXEL,Bullish,#VOXEL Bullish
2025-04-30 15:11:37+00:00,VIRTUAL,Bullish,#VIRTUAL BULLISH
2025-04-30 09:52:30+00:00,LOKA,Bullish,#LOKA BUllish
2025-04-30 09:46:44+00:00,NKN,Bullish,#NKN BULLISH
2025-04-30 00:27:48+00:00,REZ,Bullish,#REZ Bullish
2025-04-28 19:23:20+00:00,PIPPIN,Bullish,#PIPPIN Bullish
2025-04-28 18:56:20+00:00,FHE,Bullish,#FHE BULLISH
2025-04-28 07:28:43+00:00,DASH,Bullish,#DASH Bullish
2025-04-28 05:19:37+00:00,LTC,Bullish,"#LTC Bullish

Hold for midterm."
2025-04-28 05:03:50+00:00,ZEC,Bullish,#ZEC Bullish
2025-04-27 17:28:56+00:00,FART,Bullish,#FART BULLISH CONTINUATION
2025-04-26 18:28:05+00:00,TRUMP,Bullish,#TRUMP BUllish continuation
2025-04-26 16:16:24+00:00,MEMEFI,Bullish,#MEMEFI BULLISH
2025-04-26 08:22:22+00:00,HIFI,Bullish,#HIFI Bullish
2025-04-25 22:47:23+00:00,VOXEL,Bullish,#VOXEL BULLISH
2025-04-25 16:09:45+00:00,NKN,Bullish,#NKN Bullish
2025-04-25 15:47:20+00:00,BTC,Bullish,#BTC Bullish continuation
2025-04-25 15:26:03+00:00,TAO,Bullish,#TAO BULLISH to 2222$
2025-04-25 14:00:48+00:00,ZEREBRO,Bullish,#ZEREBRO Bullish
2025-04-25 06:41:19+00:00,REZ,Bullish,#REZ BULLISH
2025-04-25 06:26:57+00:00,RDNT,Bullish,#RDNT Bullish
2025-04-25 06:02:43+00:00,SUI,Bullish,#SUI BULLISH
2025-04-25 00:12:57+00:00,FLM,Bullish,#FLM Bullish
2025-04-23 22:08:59+00:00,BTC,Bullish,#BTC Bullish continuation
2025-04-22 16:42:47+00:00,BTC,Bullish,#BTC Bullish continuation
2025-04-22 01:06:45+00:00,MUBARAK,Bullish,#MUBARAK Bullish
2025-04-21 13:38:25+00:00,BANK,Bullish,#BANK Bullish
2025-04-19 01:34:34+00:00,ALPACA,Bullish,#ALPACA Bullish
2025-04-17 15:52:03+00:00,INIT,Bullish,#INIT Bullish
2025-04-17 15:23:50+00:00,GUN,Bullish,#GUN Bullish
2025-04-17 15:09:26+00:00,FHE,Bullish,#FHE Bullish
2025-04-16 01:30:47+00:00,PUMP,Bullish,#PUMP Bullish.
2025-04-15 19:33:56+00:00,GUN,Bearish,#GUN Bearish
2025-04-15 19:27:31+00:00,1000CHEEMS,Bearish,#1000CHEEMS Bearish.
2025-04-15 19:17:44+00:00,FART,Bearish,"#FART Bearish

Entry zone: 0.84-0.9"
2025-04-14 17:58:37+00:00,KERNEL,Bullish,#KERNEL Bullish
2025-04-13 22:27:38+00:00,BTC,Bearish,#BTC Bearish continuation
2025-04-13 22:27:33+00:00,ETH,Bearish,"#ETH Bearish

Targeting to 1111"
2025-04-13 17:38:42+00:00,FUN,Bullish,#FUN Bullish
2025-04-13 14:45:46+00:00,BTC,Bearish,#BTC Bearish continuation
2025-04-13 14:09:26+00:00,ETH,Bearish,"#ETH Bearish

Targeting to 1111"
2025-04-09 13:47:57+00:00,BTC,Bearish,"#BTC Bearish

Reason is simple: Donald calls to buy the dip"
2025-04-08 20:30:38+00:00,XRP,Bearish,"#XRP Bearish

TA: Descending Triangle => breaking down => Retest => Continue"
2025-04-05 18:09:01+00:00,FUN,Bullish,"#FUN Bullish continuation 

IP at 0.0056."
2025-04-05 10:55:11+00:00,MLN,Bullish,#MLN Bullish
2025-04-05 09:42:41+00:00,BROCCOLI714,Bullish,#BROCCOLI714 Bullish
2025-04-05 03:41:02+00:00,FUN,Bullish,#FUN bullish
2025-04-02 14:23:14+00:00,BTC,Bullish,"#BTC Bullish

- TA: End of the consolidation of the triangle and a big move will start soon.

-FA: Negative funding matrix has been accumulating for 1 month.

- CC: Trump tariffs at 2nd is ""Priced in"" | GOLD up 50% should work as a resistance and it is getting cool off soon. Macro is bad but It's about reversal. 

- IP at 79k"
2025-04-02 06:00:49+00:00,XRP,Bearish,"#XRP bearish

TA: A descending triangle is likely to break down after many touches at horizontal support"
2025-04-02 05:32:01+00:00,HBAR,Bearish,"#HBAR Bearish

- TA: breakdown the descending triangle => Retesting => continue"
2025-04-02 04:02:24+00:00,MLN,Bullish,#MLN Bullish.
2025-04-01 19:21:18+00:00,BTC,Bullish,"#BTC Bullish

- TA: End of the consolidation of the triangle and a big move will start soon.

-FA: Negative funding matrix has been accumulating for 1 month.

- CC: Trump tariffs at 2nd is ""Priced in"" | GOLD up 50% should work as a resistance and it is getting cool off soon. Macro is bad but It's about reversal. 

- IP at 79k"
2025-03-31 21:18:06+00:00,VIDT,Bullish,"#VIDT Bullish continuation 

TA: U Shape chart
FA: No fundamental, just like REEF TRB formation."
2025-03-31 19:44:44+00:00,REZ,Bullish,"#REZ bullish

2025-03-31 15:56:46+00:00,MLN,Bullish,#MLN BULLISH"
2025-03-31 11:52:27+00:00,CHEEMS,Bullish,"Another Example:
2025-03-31 11:39:13+00:00,ETH,Bearish,For example:"
